protein_id,locus_match,new_gene,gene,name,description
WP_011650709.1,SM_b20229,RL_RS05055,RL0971,-,hypothetical protein
WP_041936183.1,,RL_RS05060,RL0972,-,putative methyl-accepting chemotaxis protein
WP_011650712.1,SMc00971,RL_RS05070,RL0974,-,hypothetical protein
WP_041936531.1,SMc00778,RL_RS05075,RL0975,-,putative short-chain dehydrogenase
WP_003545921.1,SMc00970,RL_RS05080,RL0976,-,putative exodeoxyribonuclease VII small subunit
WP_011650715.1,SMc00969,RL_RS05085,RL0977,-,putative histone deacetylase-like amidohydrolase
WP_028742755.1,SMc00967,RL_RS05090,RL0978,-,hypothetical protein
WP_011650717.1,SMa1653,RL_RS05095,RL0979,-,hypothetical protein
WP_020048733.1,SM_b21097,RL_RS05125,RL0985,-,putative solute-binding component of ABC transporter
WP_011650724.1,,RL_RS05130,RL0986,-,putative transmembrane component of ABC transporter
WP_011650725.1,SMc00267,RL_RS05135,RL0987,-,hypothetical protein
WP_011650726.1,,RL_RS05140,RL0988,-,putative GntR family transcriptional regulator
WP_041936185.1,SMa0160,RL_RS05145,RL0989,-,putative GntR family transcriptional regulator
WP_011650728.1,SMa0151,RL_RS05150,RL0990,-,putative malonyl-CoA decarboxylase
WP_011650729.1,SMa0150,RL_RS05155,RL0991,-,putative Malonyl CoA synthetase
WP_011650730.1,,RL_RS05160,RL0992,-,putative transmembrane dicarboxylate carrier protein
,,RL_RS05165,RL0993,-,-
WP_011650733.1,,RL_RS05180,RL0996,-,putative transmembrane transporter
WP_011650734.1,,RL_RS05185,RL0997,-,putative HTH transcriptional regulator
WP_011650735.1,,RL_RS05190,RL0998,-,putative methionyl-tRNA synthetase
WP_011650736.1,,RL_RS05195,RL0999,-,putative two-component regulator sensor histidine kinase protein
WP_011650737.1,,RL_RS05200,RL1000,-,putative hydrolase
WP_011650738.1,SMa0421,RL_RS05205,RL1001,-,hypothetical protein
WP_041936187.1,,RL_RS05240,RL1008,-,putative GGDEF/EAL transmembrane sensory box protein
WP_003569889.1,SMc00070,RL_RS05245,RL1009,-,hypothetical protein
WP_011650747.1,SMc00006,RL_RS05250,RL1010,-,putative phosphoglycerate mutase
WP_173364433.1,SMc00003,RL_RS05260,RL1012,-,putative curved DNA-binding protein
WP_041936188.1,SMc00001,RL_RS05275,RL1015,-,putative polysaccharide deacetylase protein
WP_041936189.1,SMc00068,RL_RS05280,RL1016,-,putative D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein)
WP_011650753.1,SMc01191,RL_RS05285,RL1017,-,hypothetical protein
WP_011650754.1,,RL_RS05290,RL1018,-,putative acetyltransferase
WP_003545985.1,SMc00960,RL_RS05295,RL1019,-,putative regulator
WP_011650760.1,SMc00012,RL_RS05325,RL1025,-,putative cytochrome c oxidase assembly protein
WP_003545992.1,SMc00013,RL_RS05330,RL1026,-,putative cytochrome c oxidase polypeptide III (cytochrome aa3 subunit 3)
WP_011650761.1,SMc04451,RL_RS05335,RL1027,-,putative phosphotransferase
WP_011650762.1,SMc00014,RL_RS05340,RL1028,-,putative transmembrane protein
WP_011650763.1,SMc00085,RL_RS05345,RL1029,-,putative transmembrane cytochrome oxidase biogenesis protein
WP_011650767.1,,RL_RS05365,RL1033,-,hypothetical protein
WP_003546001.1,SMa2071,RL_RS05370,RL1034,-,hypothetical protein
WP_003546002.1,SMc00019,RL_RS05375,RL1035,-,hypothetical protein
WP_041936190.1,SMc00073,RL_RS05380,RL1036,-,hypothetical protein
WP_011650769.1,SMc00072,RL_RS05385,RL1037,-,putative thioredoxin family protein
WP_011650770.1,SM_b20278,RL_RS05395,RL1038,-,hypothetical protein
WP_011650771.1,SM_b20279,RL_RS05400,RL1039,-,hypothetical protein
WP_011650773.1,SM_b20280,RL_RS05410,RL1041,-,putative oxidoreductase/monooxygenase
WP_011650774.1,,RL_RS05415,RL1042,-,putative ABC transporter component
WP_011650775.1,,RL_RS05420,RL1043,-,putative solute-binding component of ABC transporter
WP_011650776.1,,RL_RS05425,RL1044,-,putative transmembrane component of ABC transporter
WP_011650777.1,,RL_RS05430,RL1045,-,putative transmembrane component of ABC transporter
,,,RL1046,-,hypothetical protein
WP_011650779.1,,RL_RS05435,RL1047,-,putative ATP-binding component of ABC transporter
WP_011650780.1,,RL_RS05440,RL1048,-,putative transmembrane component of ABC transporter
WP_011650781.1,,RL_RS05445,RL1049,-,putative solute-binding component of ABC transporter
WP_011650782.1,,RL_RS05450,RL1050,-,hypothetical protein
WP_041936192.1,,RL_RS05455,RL1051,-,hypothetical protein
WP_011650784.1,,RL_RS37030,RL1052,-,hypothetical protein
WP_011650785.1,SMc01714,RL_RS05465,RL1053,-,putative exported endoribonuclease family protein
WP_011650786.1,SMc01715,RL_RS05470,RL1054,-,putative TetR family transcriptional regulator
WP_011650787.1,SMa0277,RL_RS05475,RL1055,-,hypothetical protein
WP_122330851.1,,RL_RS05480,RL1056,-,hypothetical protein
WP_011650789.1,,RL_RS05485,RL1057,-,hypothetical protein
WP_011650790.1,,RL_RS05490,RL1058,-,putative arginyl-tRNA synthetase
WP_011650793.1,SMc00451,RL_RS05505,RL1061,-,putative peptidase
WP_011650795.1,SMc00020,RL_RS05515,RL1063,-,hypothetical protein
WP_011650796.1,SMc00079,RL_RS05520,RL1064,-,putative hydrolase
WP_011650797.1,,RL_RS05525,RL1065,-,putative methyl-accepting chemotaxis protein
,,,RL1066,-,putative transmembrane protein
WP_028742811.1,,RL_RS05540,RL1067,-,hypothetical protein
WP_011650800.1,,RL_RS05545,RL1068,-,hypothetical protein
WP_028742812.1,SM_b21548,RL_RS05550,RL1069,-,putative autotransporter
,,,RL1070,-,hypothetical protein
,,,RL1071,-,hypothetical protein
WP_011650804.1,SMc00080,RL_RS05565,RL1072,-,putative transcriptional regulator
WP_011650805.1,,RL_RS05570,RL1073,-,hypothetical protein
WP_011650806.1,,RL_RS05575,RL1074,-,hypothetical protein
WP_011650808.1,,RL_RS05585,RL1076,-,hypothetical protein
WP_011650809.1,SMc00081,RL_RS05590,RL1077,-,hypothetical protein
WP_011650810.1,SMc00452,RL_RS05595,RL1078,-,putative A/G-specific adenine glycosylase
WP_011650811.1,SMc00022,RL_RS05600,RL1079,-,hypothetical protein
WP_011650812.1,,RL_RS05605,RL1080,-,hypothetical protein
,,RL_RS05610,RL1081,-,-
WP_011650813.1,,RL_RS05620,RL1082,-,putative plasmid stabilisation-like protein
WP_011650815.1,SMc00024,RL_RS05630,RL1084,-,putative structural maintenance of chromosomes protein
,,,RL1085,-,hypothetical protein
WP_011650822.1,,RL_RS05665,RL1091,-,hypothetical protein
WP_041936197.1,,RL_RS05670,RL1092,-,hypothetical protein
WP_011650824.1,SMc00087,RL_RS05675,RL1093,-,putative beta-lactamase family protein
WP_244432351.1,,RL_RS05690,RL1095,-,hypothetical protein
WP_011650827.1,,RL_RS05695,RL1096,-,hypothetical protein
WP_244432352.1,,RL_RS40430,RL1098,-,putative type I restriction enzyme modification methylase subunit
WP_011650830.1,,RL_RS05710,RL1099,-,putative type I restriction enzyme modification methylase subunit
WP_244432353.1,,RL_RS05715,RL1100,-,putative type I restriction enzyme R subunit
,,,RL1101,-,hypothetical protein
WP_011650834.1,SMc03748,RL_RS05730,RL1103,-,hypothetical protein
WP_011650835.1,,RL_RS05735,RL1104,-,putative ketoreductase
WP_011650837.1,,RL_RS05745,RL1106,-,putative PspA family regulator
WP_003546080.1,,RL_RS05750,RL1107,-,putative transmembrane protein
WP_011650838.1,,RL_RS05755,RL1108,-,putative transmembrane AMP-binding acyltransferase family protein
WP_011650839.1,SMc00088,RL_RS05760,RL1109,-,hypothetical protein
WP_011650840.1,,RL_RS05770,RL1110,-,putative plasmid-stability like protein
WP_003546085.1,SMc00392,RL_RS05775,RL1111,-,conserevd hypothetical protein
WP_011650842.1,,RL_RS05780,RL1112,-,putative transmembrane protein
WP_011650848.1,,RL_RS05825,RL1118,-,hypothetical protein
WP_028742849.1,,RL_RS05830,RL1119,-,hypothetical protein
WP_041936202.1,,RL_RS05835,RL1120,-,hypothetical protein
WP_011650851.1,,RL_RS05840,RL1121,-,hypothetical protein
,,,RL1122,-,putative GerE/LuxR family transcriptional regulator
WP_011650853.1,SMc04196,RL_RS05855,RL1123,-,hypothetical protein
WP_011650854.1,,RL_RS05860,RL1124,-,hypothetical protein
WP_041936203.1,,RL_RS05865,RL1125,-,putative carboxylesterase
,,RL_RS05870,RL1126,-,hypothetical protein
WP_041936205.1,SMa1583,RL_RS05880,RL1127,-,putative adenylate cyclase
WP_011650858.1,,RL_RS05885,RL1128,-,hypothetical protein
,,,RL1129,-,hypothetical protein
WP_041936208.1,,RL_RS05895,RL1130,-,hypothetical protein
WP_041936209.1,SMa1050,RL_RS05900,RL1131,-,putative transmembrane protein
WP_011650862.1,SMa1053,RL_RS05910,RL1132,-,putative transmembrane protein
WP_011650863.1,SMa1056,RL_RS05915,RL1133,-,putative HTH family transcriptional regulator
WP_011650864.1,SMa1057,RL_RS05920,RL1134,-,hypothetical protein
WP_041936211.1,,RL_RS05935,RL1136,-,hypothetical protein
WP_011650867.1,SM_b20179,RL_RS05940,RL1137,-,hypothetical protein
WP_011650868.1,,RL_RS05945,RL1138,-,putative ECF sigma factor
WP_011650869.1,,RL_RS05950,RL1139,-,putative transmembrane protein
,,,RL1140,-,-
,,,RL1141,-,hypothetical protein
WP_041936213.1,,RL_RS05960,RL1142,-,putative adenylate cyclase
,,RL_RS37330,RL1143,-,-
WP_011650872.1,SMa1929,RL_RS05970,RL1144,-,hypothetical protein
WP_011650873.1,,RL_RS05975,RL1145,-,putative conjugated bile salt hydrolase
WP_011650874.1,,RL_RS05980,RL1146,-,hypothetical protein
WP_049778362.1,,RL_RS05985,RL1147,-,hypothetical protein
WP_011650876.1,,RL_RS05990,RL1148,-,hypothetical protein
WP_011650877.1,,RL_RS05995,RL1149,-,putative exported arylsulfatase
WP_011650878.1,,RL_RS06000,RL1150,-,hypothetical protein
WP_011650879.1,,RL_RS06005,RL1151,-,hypothetical protein
,,,RL1153,-,-
WP_011650881.1,,RL_RS06015,RL1154,-,hypothetical protein
WP_011650882.1,,RL_RS06020,RL1155,-,putative glycosyl transferase
WP_011650883.1,,RL_RS06025,RL1156,-,putative two component sensor histidine kinase transcriptional regulator
WP_028742872.1,,RL_RS06030,RL1157,-,putative two-component response regulator transcriptional regulatory protein
,,RL_RS06035,RL1158,-,-
WP_041936215.1,,RL_RS06040,RL1159,-,hypothetical protein
WP_011650886.1,SM_b21367,RL_RS06045,RL1160,-,putative cytochrome c protein
WP_011650887.1,SMa1976,RL_RS06050,RL1161,-,putative aldolase
WP_012756433.1,,RL_RS06055,RL1162,-,putative response regulator
WP_011650889.1,SMa0436,RL_RS06060,RL1163,-,putative two-component sensor histidine kinase transcriptional regulatory protein
WP_011650890.1,SMa0134,RL_RS06065,RL1164,-,hypothetical protein
WP_011650891.1,SMa5002,RL_RS06070,RL1165,-,hypothetical protein
WP_003546150.1,SMc03843,RL_RS06085,RL1168,-,putative HTH family transcriptional regulator
WP_011650895.1,SMc03842,RL_RS06090,RL1169,-,conserved hypothethetical protein
WP_011650896.1,SMc03841,RL_RS06095,RL1170,-,putative ATP-dependent Clp protease proteolytic subunit
WP_011650897.1,SMc00958,RL_RS06100,RL1171,-,hypothetical protein
WP_028742885.1,SMc01036,RL_RS06105,RL1172,-,putative transmembrane protein
WP_011650899.1,,RL_RS06110,RL1173,-,putative transmembrane protein
WP_028742887.1,SMc02894,RL_RS06115,RL1174,-,hypothetical protein
WP_011650901.1,,RL_RS06120,RL1175,-,putative transmembrane efflux protein
WP_011650903.1,SM_b21580,RL_RS06130,RL1177,-,putative transmembrane protein
WP_011650904.1,SMa1644,RL_RS06135,RL1178,-,putative transmembrane efflux protein
WP_244432354.1,,RL_RS06140,RL1179,-,hypothetical protein
WP_011650906.1,,RL_RS06145,RL1180,-,hypothetical protein
WP_041936216.1,,RL_RS06150,RL1181,-,hypothetical protein
,,,RL1182,-,hypothetical protein
WP_011650909.1,SMc02813,RL_RS06160,RL1183,-,putative aminoglycoside N(3')-acetyltransferase III
WP_011650910.1,,RL_RS06165,RL1184,-,hypothetical protein
WP_011650911.1,SMc00136,RL_RS06170,RL1185,-,putative short-chain dehydrogenase/reductase
WP_011650912.1,,RL_RS06175,RL1186,-,putative LysR family transcriptional regulator
WP_011650913.1,,RL_RS06180,RL1187,-,putative adenylate cyclase 3
WP_011650914.1,,RL_RS06185,RL1188,-,putative kinase
WP_244432375.1,,RL_RS06190,RL1189,-,hypothetical protein
WP_011650916.1,,RL_RS06195,RL1190,-,putative HTH-type transcriptional regulator
WP_011650917.1,,RL_RS06200,RL1191,-,putative transmembrane protein
WP_011650918.1,SM_b21169,RL_RS06205,RL1192,-,putative HTH family transcriptional regulator
WP_011650919.1,,RL_RS06210,RL1193,-,putative short-chain reductase
WP_011650920.1,,RL_RS06215,RL1194,-,putative transmembrane protein
WP_244432355.1,,RL_RS06225,RL1196,-,putative adhesin precursor (autotransporter)
WP_011650922.1,,RL_RS06230,RL1197,-,putative oxidoreductase/dehydrogenase
WP_011650923.1,SMa0325,RL_RS06235,RL1198,-,hypothetical protein
WP_011650924.1,,RL_RS06240,RL1199,-,hypothetical protein
WP_041936218.1,,RL_RS06245,RL1200,-,putative transmembrane protein
WP_011650926.1,,RL_RS06250,RL1201,-,putative transcriptional regulator
WP_244432356.1,,RL_RS06255,RL1202,-,putative LysR family transcriptional regulator
WP_011650928.1,SMa1811,RL_RS06260,RL1203,-,putative metallo-beta-lactamase family methyl parathion hydrolase
WP_011650929.1,,RL_RS06265,RL1204,-,putative LysR family transcriptional regulator
WP_011650930.1,SMa2109,RL_RS06270,RL1205,-,hypothetical protein
WP_011650931.1,,RL_RS06275,RL1206,-,hypothetical protein
WP_011650932.1,,RL_RS06280,RL1207,-,hypothetical protein
WP_011650933.1,,RL_RS06285,RL1208,-,putative chaperone protein
WP_011650934.1,SMa1956,RL_RS06290,RL1209,-,putative LysR family transcriptional regulator
WP_003546229.1,SMa1767,RL_RS06295,RL1210,-,hypothetical protein
WP_011650936.1,,RL_RS06300,RL1211,-,hypothetical protein
WP_011650937.1,SMc04141,RL_RS06305,RL1212,-,putative glutathione S-transferase
WP_011650938.1,SM_b20607,RL_RS06310,RL1213,-,hypothetical protein
WP_003557417.1,SM_b20608,RL_RS06315,RL1214,-,putative HTH family transcriptional regulator
WP_011650942.1,,RL_RS06335,RL1218,-,hypothetical protein
WP_011650943.1,,RL_RS06340,RL1219,-,putative transcriptional regulator
WP_011650944.1,,RL_RS06345,RL1220,-,hypothetical protein
WP_011650946.1,,RL_RS06355,RL1222,-,hypothetical protein
WP_011650947.1,,RL_RS06360,RL1223,-,hypothetical protein
WP_011650948.1,SMc00339,RL_RS06365,RL1224,-,putative adenylate/guanylate cyclase
WP_011650949.1,,RL_RS06370,RL1225,-,hypothetical protein
WP_011650950.1,,RL_RS06375,RL1226,-,putative transmembrane protein
WP_011650951.1,,RL_RS06380,RL1227,-,hypothetical protein
WP_011650952.1,,RL_RS06385,RL1228,-,putative TetR family transcriptional regulator
WP_028741654.1,,RL_RS06390,RL1229,-,hypothetical protein
WP_011650954.1,,RL_RS06395,RL1230,-,hypothetical protein
WP_011650955.1,,RL_RS06405,RL1231,-,putative short-chain dehydrogenase/oxidoreductase
WP_011650956.1,,RL_RS06410,RL1232,-,putative AraC family transcriptional regulator
WP_011650957.1,SMa2008,RL_RS06415,RL1233,-,putative TetR family transcriptional regulator
WP_011650958.1,SMa2009,RL_RS06420,RL1234,-,putative glyxoylase
WP_011650959.1,,RL_RS06425,RL1235,-,hypothetical protein
WP_011650960.1,,RL_RS06430,RL1236,-,putative arylsulfatase
WP_011650961.1,SMc00954,RL_RS06435,RL1237,-,putative arylsulfatase
WP_086935541.1,,RL_RS06440,RL1238,-,putative arylsulfatase
WP_041936221.1,,RL_RS06450,RL1239,-,hypothetical protein
WP_011650964.1,,RL_RS06455,RL1240,-,putative lipase
WP_011650965.1,,RL_RS06460,RL1241,-,putative transmembrane protein
WP_011650966.1,SM_b20306,RL_RS06465,RL1242,-,hypothetical protein
,,,RL1243,-,hypothetical protein
WP_011650968.1,,RL_RS06475,RL1244,-,putative transmembrane protein
WP_011650969.1,,RL_RS06495,RL1245,-,hypothetical protein
WP_041936224.1,SMa1223,RL_RS06500,RL1246,-,hypothetical protein
WP_011650971.1,,RL_RS06505,RL1247,-,hypothetical protein
WP_011650972.1,,RL_RS06510,RL1248,-,hypothetical protein
WP_011650973.1,,RL_RS06515,RL1249,-,hypothetical protein
WP_011650974.1,,RL_RS06520,RL1250,-,hypothetical protein
WP_011650975.1,,RL_RS06530,RL1251,-,putative serine protease
WP_032992595.1,,RL_RS06535,RL1252,-,putative GntR family transcriptional regulator
WP_041936225.1,,RL_RS06540,RL1253,-,putative LysR family transcriptional regulator
WP_011650978.1,SMa0349,RL_RS06545,RL1254,-,hypothetical protein
WP_011650979.1,SMc03186,RL_RS06550,RL1255,-,putative LysR family transcriptional regulator
WP_011650980.1,,RL_RS06555,RL1256,-,putative nitrogen metabolite repression regulator
WP_011650981.1,,RL_RS06560,RL1257,-,putative quinone oxidoreductase
WP_041936226.1,,RL_RS06565,RL1258,-,putative LysR family transcriptional regulator
WP_011650983.1,,RL_RS06570,RL1259,-,hypothetical protein
WP_011650984.1,SMc00090,RL_RS06575,RL1260,-,putative sulfate adenylyltransferase
WP_003546395.1,SMc00091,RL_RS06580,RL1261,-,putative sulfate adenylyltransferase subunit 2
WP_011650985.1,SMc00092,RL_RS06585,RL1262,-,putative phosphoadenosine phosphosulfate reductase
WP_003546399.1,,RL_RS06590,RL1263,-,putative Rrf2 family transcriptional regulator
WP_244432357.1,,RL_RS06595,RL1264,-,putative alcohol dehydrogenase
WP_233938593.1,,RL_RS06600,RL1265,-,putative LysR family transcriptional regulator
WP_032992592.1,SMc00030,RL_RS06605,RL1266,-,hypothetical protein
WP_011650988.1,SMc00031,RL_RS06610,RL1267,-,putative transmembrane protein
WP_011650989.1,,RL_RS06615,RL1268,-,hypothetical protein
WP_011650990.1,,RL_RS06620,RL1269,-,hypothetical protein
WP_011650991.1,SMc00093,RL_RS06625,RL1270,-,putative choline dehydrogenase
WP_011650992.1,SMc00094,RL_RS06630,RL1271,-,putative betaine aldehyde dehydrogenase
WP_041936227.1,SMc00095,RL_RS06635,RL1272,-,putative TetR family transcriptional regulator
WP_011650994.1,SMc00032,RL_RS06640,RL1273,-,putative transmembrane protein
WP_003546415.1,,RL_RS06645,RL1274,-,hypothetical protein
WP_011650995.1,SMc00033,RL_RS06650,RL1275,-,putative GGDEF/EAL sensory box protein
WP_011650996.1,SMc00034,RL_RS06655,RL1276,-,putative quinone oxidoreductase
WP_041936228.1,SMc01217,RL_RS06660,RL1277,-,putative transmembrane transporter protein
WP_041936229.1,,RL_RS06665,RL1278,-,hypothetical protein
WP_011650999.1,,RL_RS06670,RL1279,-,putative transmembrane MFS efflux transporter
WP_011651000.1,SMc00035,RL_RS06675,RL1280,-,putative L-asparaginase II
WP_011651001.1,,RL_RS06680,RL1281,-,putative transmembrane protein
WP_011651002.1,,RL_RS06685,RL1282,-,putative deoR family transcriptional regulator
WP_003546432.1,,RL_RS06690,RL1283,-,hypothetical protein
WP_011651003.1,SMc00036,RL_RS06695,RL1284,-,putative glutathione S-transferase
WP_011651004.1,SMc00123,RL_RS06700,RL1285,-,hypothetical protein
WP_011651006.1,SMc00037,RL_RS06710,RL1287,-,putative LysR family transcriptional regulator
WP_011651007.1,SMc00097,RL_RS06715,RL1288,-,putative glutathione S-transferase
WP_028741591.1,,RL_RS06720,RL1289,-,hypothetical protein
WP_011651009.1,SMc00038,RL_RS06725,RL1290,-,putative sensory box GGDEF/EAL domain protein
WP_011651010.1,SMc02646,RL_RS06730,RL1291,-,putative glycerophosphoryl diester phosphodiesterase
WP_011651011.1,SMc04308,RL_RS06735,RL1292,-,putative arylesterase
WP_011651012.1,SMc03176,RL_RS06740,RL1293,-,hypothetical protein
WP_011651013.1,SMc03177,RL_RS06745,RL1294,-,putative DNA ligase
WP_028741585.1,,RL_RS06750,RL1295,-,putative peptidase
WP_011651015.1,,RL_RS06755,RL1296,-,hypothetical protein
WP_003557650.1,SM_b21516,RL_RS06760,RL1297,-,hypothetical protein
WP_003546468.1,SMc04318,RL_RS06765,RL1298,-,putative cold shock protein
WP_011651016.1,SMc04319,RL_RS06770,RL1299,-,putative cold shock protein
WP_003546477.1,SMc04320,RL_RS06775,RL1300,-,30S ribosomal protein S21 A
WP_011651017.1,SMc01427,RL_RS06780,RL1301,-,hypothetical protein
WP_011651018.1,SMc00098,RL_RS06785,RL1301A,-,putative MarR family transcriptional regulator
WP_003546481.1,SMc00040,RL_RS06790,RL1302,-,putative OsmC-like organic hydroperoxide resistance protein
WP_011651019.1,SMc04052,RL_RS06795,RL1303,-,putative MarR family transcriptional regulator
WP_011651020.1,,RL_RS06800,RL1304,-,hypothetical protein
WP_011651021.1,SMc04053,RL_RS06805,RL1305,-,hypothetical protein
WP_011651022.1,SMc04054,RL_RS06810,RL1306,-,putative glyoxylase
WP_011651023.1,,RL_RS06815,RL1307,-,putative outer membrane protein
WP_041936230.1,,RL_RS06820,RL1308,-,conserved ATP-binding component of ABC transporter
WP_011651025.1,,RL_RS06830,RL1309,-,putative transmembrane protein
WP_011651026.1,SMa2385,RL_RS06835,RL1310,-,putative ATP-binding component of ABC transporter
WP_011651027.1,SMc00100,RL_RS06840,RL1311,-,hypothetical protein
WP_003546502.1,SMc00041,RL_RS06845,RL1312,-,hypothetical protein
WP_011651028.1,,RL_RS06850,RL1313,-,hypothetical protein
WP_011651032.1,SMc00240,RL_RS06870,RL1317,-,putative transmembrane protein
WP_011651033.1,,RL_RS06875,RL1318,-,putative methyl-accepting chemotaxis protein
WP_244432358.1,,RL_RS06880,RL1319,-,putative DNA topology modulation protein
WP_028741566.1,,RL_RS06885,RL1320,-,"autolysin atle and putative transcriptional regulator atlr genes, complete cds (hypothetical protein se0751)"
WP_011651036.1,SMc02847,RL_RS06890,RL1320A,-,hypothetical protein
WP_028741565.1,,RL_RS06895,RL1322,-,hypothetical protein
,,,RL1323,-,hypothetical protein
WP_011651039.1,,RL_RS06905,RL1324,-,hypothetical protein
WP_011651040.1,SMc00105,RL_RS06910,RL1325,-,putative alcohol dehydrogenase
WP_011651041.1,SMc00042,RL_RS06915,RL1326,-,putative branched-chain-amino-acid aminotransferase
WP_244432359.1,,RL_RS40455,RL1327,-,hypothetical protein
WP_011651043.1,,RL_RS06925,RL1328,-,putative LysR family transcriptional regulator
WP_028741561.1,SM_b20699,RL_RS06930,RL1329,-,putative HlyD family efflux pump protein
WP_011651045.1,,RL_RS06935,RL1330,-,putative transmembrane efflux pump protein
WP_011651046.1,,RL_RS06940,RL1331,-,putative adenylate cyclase
WP_011651047.1,,RL_RS06945,RL1332,-,putative NH(3)-dependent NAD(+) synthetase
WP_011651048.1,,RL_RS06950,RL1333,-,putative glutathione S-transferase
WP_011651049.1,,RL_RS06955,RL1334,-,putative TetR family transcriptional regulator
WP_011651050.1,,RL_RS06960,RL1335,-,putative transmembrane multi-drug resistance efflux pump
WP_011651051.1,,RL_RS06965,RL1336,-,hypothetical protein
WP_003546546.1,SMa2359,RL_RS06970,RL1337,-,putative transmembrane protein
WP_011651052.1,,RL_RS06975,RL1338,-,putative phosphatidylethanolamine N-methyltransferase
WP_028741557.1,,RL_RS06980,RL1339,-,hypothetical protein
WP_011651053.1,SM_b20152,RL_RS06990,RL1341,-,hypothetical protein
WP_011651054.1,SM_b21385,RL_RS06995,RL1342,-,putative AraC family transcriptional regulator
WP_011651055.1,,RL_RS07000,RL1343,-,putative short-chain dehydrogenase/reductase
WP_011651056.1,SMc00107,RL_RS07005,RL1344,-,hypothetical protein
WP_011651057.1,SMc00044,RL_RS07010,RL1345,-,putative LysE family efflux protein
WP_011651058.1,SMc00045,RL_RS07015,RL1346,-,putative cytochrome c'
WP_011651059.1,SMc00086,RL_RS07020,RL1347,-,putative diheme cytochrome c
WP_011651060.1,,RL_RS07025,RL1348,-,putative glutathione-S-transferase protein
WP_012756624.1,SMc00108,RL_RS07030,RL1349,-,putative acetyltransferase
WP_003546569.1,SMc04168,RL_RS07035,RL1350,-,hypothetical protein
WP_041936231.1,SMc04167,RL_RS07040,RL1351,-,putative cation efflux system protein
WP_011651063.1,SMc00047,RL_RS07045,RL1352,-,putative exported beta-lactamase
WP_011651064.1,,RL_RS07050,RL1353,-,hypothetical protein
WP_011651065.1,SMc00110,RL_RS07055,RL1354,-,putative quinoprotein glucose dehydrogenase
WP_011651066.1,SMc00453,RL_RS07060,RL1355,-,hypothetical protein
WP_028741550.1,,RL_RS07065,RL1356,-,putative transmembrane protein
WP_011651068.1,,RL_RS07075,RL1357,-,putative homocysteine S-methyltransferase
WP_003546585.1,,RL_RS07080,RL1358,-,putative TetR family transcriptional regulator
WP_011651069.1,SMc00112,RL_RS07085,RL1359,-,hypothetical protein
WP_011651070.1,SMc00114,RL_RS07090,RL1360,-,putative protease II
WP_003546591.1,SMc02317,RL_RS07095,RL1361,-,hypothetical protein
WP_011651071.1,,RL_RS07100,RL1362,-,hypothetical protein
WP_011651072.1,SMc02428,RL_RS07105,RL1363,-,putative oxidoreductase
WP_011651073.1,SMc00793,RL_RS07110,RL1364,-,putative transmembrane protein
WP_041936232.1,,RL_RS07115,RL1365,-,putative glyoxylase
WP_003546608.1,SMc00048,RL_RS07120,RL1366,-,putative universal stress protein F
WP_028741543.1,SMc00455,RL_RS07125,RL1367,-,putative hemolysin-related transmembrane protein
WP_011651076.1,SMc01229,RL_RS07130,RL1368,-,putative phosphinothricin N-acetyltransferase
WP_011651077.1,SMc04201,RL_RS07135,RL1369,-,putative pentapeptide repeat protein
WP_003546617.1,SMc00117,RL_RS07140,RL1370,-,putative methionine sulfoxide reductase
WP_011651086.1,SMc00456,RL_RS07195,RL1381,-,hypothetical protein
WP_028741535.1,,RL_RS07210,RL1384,-,putative AraC-like transcription regulator
WP_011651090.1,,RL_RS07215,RL1385,-,putative short-chain dehydrogenase/oxidoreductase
WP_011651091.1,,RL_RS07220,RL1386,-,putative MCP chemoreceptor protein
WP_011651092.1,SMc00061,RL_RS07225,RL1387,-,hypothetical protein
WP_011651093.1,SMc00120,RL_RS07230,RL1388,-,hypothetical protein
WP_011651094.1,SMc02277,RL_RS07235,RL1389,-,hypothetical protein
,,,RL1390,-,hypothetical protein
WP_011651096.1,SMc00128,RL_RS07240,RL1391,-,putative N-terminal transmembrane anchored protein
WP_011651097.1,SMc00457,RL_RS07245,RL1392,-,putative transmembrane protein
WP_041936233.1,SMc00122,RL_RS07250,RL1393,-,putative peptidoglycan biosynthesis/penicillin binding protein
WP_011651099.1,SMc00064,RL_RS07255,RL1394,-,hypothetical protein
WP_011651100.1,,RL_RS07260,RL1395,-,putative TerC family transporter
WP_011651101.1,SMa0291,RL_RS07265,RL1396,-,hypothetical protein
WP_011651102.1,,RL_RS07270,RL1397,-,putative exopolysaccharide synthesis protein
WP_011651103.1,,RL_RS07275,RL1398,-,putative TetR family transcriptional regulator
WP_011651104.1,,RL_RS07280,RL1399,-,putative short-chain dehydrogenase/reductase
WP_011651105.1,SMa0130,RL_RS07285,RL1400,-,putative transmembrane fatty acid desaturase
,,,RL1401,-,putative N-terminal transmembrane anchored protein
WP_011651107.1,SMa1907,RL_RS07295,RL1402,-,hypothetical protein
WP_011651108.1,,RL_RS07300,RL1403,-,putative transmembrane efflux protein
WP_011651109.1,SMa0307,RL_RS07305,RL1404,-,putative LysR family transcriptional regulator
WP_011651110.1,,RL_RS07310,RL1405,-,putative glyoxalase
WP_011651111.1,,RL_RS07315,RL1406,-,putative transglutaminase family protein
