## Sat Mar 25 20:43:29 2023
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM__gbtp9iu --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM__gbtp9iu --override -m diamond --dmnd_ignore_warnings -i /emapper_web_jobs/emapper_jobs/user_data/MM__gbtp9iu/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
Smeli:SMc04322	266834.SMc04322	9.05e-258	706.0	COG0667@1|root,COG0667@2|Bacteria,1MV2Y@1224|Proteobacteria,2TS02@28211|Alphaproteobacteria,4B7SN@82115|Rhizobiaceae	28211|Alphaproteobacteria	C	Aldo keto reductase	mocA	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006725,GO:0006766,GO:0006767,GO:0006772,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0017144,GO:0034641,GO:0042723,GO:0044237,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0071704,GO:0072527,GO:1901360,GO:1901564	-	-	-	-	-	-	-	-	-	-	Aldo_ket_red
Smeli:SMc04323	266834.SMc04323	2.13e-295	806.0	COG1167@1|root,COG1167@2|Bacteria,1MV6F@1224|Proteobacteria,2TR7I@28211|Alphaproteobacteria,4B96I@82115|Rhizobiaceae	28211|Alphaproteobacteria	E	COG1167 Transcriptional regulators containing a DNA-binding HTH domain and an aminotransferase domain (MocR family) and their eukaryotic orthologs	lysN	-	-	ko:K00375	-	-	-	-	ko00000,ko03000	-	-	-	Aminotran_1_2
Smeli:SMc04324	266834.SMc04324	1.89e-82	244.0	2ESSK@1|root,33KB0@2|Bacteria,1NM4C@1224|Proteobacteria,2UN0Z@28211|Alphaproteobacteria,4BH3D@82115|Rhizobiaceae	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Smeli:SMc04338	266834.SMc04338	8.74e-170	473.0	COG1376@1|root,COG1376@2|Bacteria,1R6YI@1224|Proteobacteria,2U319@28211|Alphaproteobacteria,4BB6F@82115|Rhizobiaceae	28211|Alphaproteobacteria	S	L,D-transpeptidase catalytic domain	-	-	-	-	-	-	-	-	-	-	-	-	YkuD
Smeli:SMc04341	266834.SMc04341	1.44e-225	621.0	COG2113@1|root,COG2113@2|Bacteria,1MWZU@1224|Proteobacteria,2TTPN@28211|Alphaproteobacteria,4B8N4@82115|Rhizobiaceae	28211|Alphaproteobacteria	E	of ABC-type glycine betaine transport system	-	-	-	ko:K02002	ko02010,map02010	M00208	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.12	-	-	OpuAC
Smeli:SMc04343	266834.SMc04343	2.83e-197	550.0	COG2114@1|root,COG2114@2|Bacteria,1RG4J@1224|Proteobacteria,2U7PQ@28211|Alphaproteobacteria,4BBYE@82115|Rhizobiaceae	28211|Alphaproteobacteria	T	Adenylate cyclase	cyaJ	-	4.6.1.1	ko:K01768	ko00230,ko02025,ko04113,ko04213,map00230,map02025,map04113,map04213	M00695	R00089,R00434	RC00295	ko00000,ko00001,ko00002,ko01000	-	-	-	Guanylate_cyc
Smeli:SMc04344	266834.SMc04344	8.63e-49	155.0	2BJ1B@1|root,32D9X@2|Bacteria,1QSCC@1224|Proteobacteria,2V1DR@28211|Alphaproteobacteria,4BHPT@82115|Rhizobiaceae	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Smeli:SMc04346	266834.SMc04346	3.09e-244	671.0	COG0059@1|root,COG0059@2|Bacteria,1MV7M@1224|Proteobacteria,2TRXI@28211|Alphaproteobacteria,4BBAQ@82115|Rhizobiaceae	28211|Alphaproteobacteria	EH	Involved in the biosynthesis of branched-chain amino acids (BCAA). Catalyzes an alkyl-migration followed by a ketol- acid reduction of (S)-2-acetolactate (S2AL) to yield (R)-2,3- dihydroxy-isovalerate. In the isomerase reaction, S2AL is rearranged via a Mg-dependent methyl migration to produce 3- hydroxy-3-methyl-2-ketobutyrate (HMKB). In the reductase reaction, this 2-ketoacid undergoes a metal-dependent reduction by NADPH to yield (R)-2,3-dihydroxy-isovalerate	ilvC	-	1.1.1.86	ko:K00053	ko00290,ko00770,ko01100,ko01110,ko01130,ko01210,ko01230,map00290,map00770,map01100,map01110,map01130,map01210,map01230	M00019,M00570	R03051,R04439,R04440,R05068,R05069,R05071	RC00726,RC00836,RC00837,RC01726	ko00000,ko00001,ko00002,ko01000	-	-	-	IlvC,IlvN
Smeli:SMc04348	266834.SMc04348	1.97e-144	408.0	COG1309@1|root,COG1309@2|Bacteria,1RC6H@1224|Proteobacteria,2U7NG@28211|Alphaproteobacteria,4B8GG@82115|Rhizobiaceae	28211|Alphaproteobacteria	K	Transcriptional regulator	-	-	-	-	-	-	-	-	-	-	-	-	TetR_C_7,TetR_N
Smeli:SMc04350	266834.SMc04350	3.79e-275	756.0	COG0845@1|root,COG0845@2|Bacteria,1MU8D@1224|Proteobacteria,2TV4H@28211|Alphaproteobacteria,4BMHT@82115|Rhizobiaceae	28211|Alphaproteobacteria	M	Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family	macA	-	-	ko:K02005,ko:K13888	-	M00709	-	-	ko00000,ko00002,ko02000	8.A.1	-	-	HlyD_3,HlyD_D23
Smeli:SMc04351	266834.SMc04351	0.0	1207.0	COG0577@1|root,COG1136@1|root,COG0577@2|Bacteria,COG1136@2|Bacteria,1MU45@1224|Proteobacteria,2TS3W@28211|Alphaproteobacteria,4BNQP@82115|Rhizobiaceae	28211|Alphaproteobacteria	V	Non-canonical ABC transporter that contains transmembrane domains (TMD), which form a pore in the inner membrane, and an ATP-binding domain (NBD), which is responsible for energy generation. Confers resistance against macrolides	macB	-	-	ko:K05685,ko:K09810	ko02010,map02010	M00255,M00709	-	-	ko00000,ko00001,ko00002,ko01000,ko02000	3.A.1.122.1,3.A.1.122.12,3.A.1.125	-	-	ABC_tran,FtsX,MacB_PCD
Smeli:SMc04352	266834.SMc04352	2.35e-138	391.0	COG3672@1|root,COG3672@2|Bacteria,1NUXW@1224|Proteobacteria,2TTXC@28211|Alphaproteobacteria,4BBC4@82115|Rhizobiaceae	28211|Alphaproteobacteria	S	Bacterial transglutaminase-like cysteine proteinase BTLCP	-	-	-	-	-	-	-	-	-	-	-	-	Peptidase_C93
Smeli:SMc04357	266834.SMc04357	7.11e-64	205.0	2DWJB@1|root,340MZ@2|Bacteria,1N1YH@1224|Proteobacteria,2UCU2@28211|Alphaproteobacteria	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Smeli:SMc04359	266834.SMc04359	3.13e-158	444.0	COG1525@1|root,COG1525@2|Bacteria,1MZNP@1224|Proteobacteria,2UCTJ@28211|Alphaproteobacteria,4BCV4@82115|Rhizobiaceae	28211|Alphaproteobacteria	L	nuclease	-	-	-	-	-	-	-	-	-	-	-	-	SNase
Smeli:SMc04360	266834.SMc04360	1.89e-227	625.0	COG3173@1|root,COG3173@2|Bacteria,1R5XN@1224|Proteobacteria,2U3K7@28211|Alphaproteobacteria,4B9KB@82115|Rhizobiaceae	28211|Alphaproteobacteria	S	Aminoglycoside phosphotransferase	kka	-	-	-	-	-	-	-	-	-	-	-	APH
Smeli:SMc04361	266834.SMc04361	2.13e-150	423.0	COG4126@1|root,COG4126@2|Bacteria,1R54J@1224|Proteobacteria,2U31F@28211|Alphaproteobacteria,4B6Z3@82115|Rhizobiaceae	28211|Alphaproteobacteria	E	Hydantoin racemase	-	-	-	-	-	-	-	-	-	-	-	-	Asp_Glu_race
Smeli:SMc04362	266834.SMc04362	0.0	925.0	COG0477@1|root,COG0477@2|Bacteria,1NS3F@1224|Proteobacteria,2TXHQ@28211|Alphaproteobacteria,4BN85@82115|Rhizobiaceae	28211|Alphaproteobacteria	EGP	Sugar (and other) transporter	-	-	-	-	-	-	-	-	-	-	-	-	Sugar_tr
Smeli:SMc04363	266834.SMc04363	7.77e-197	546.0	COG1737@1|root,COG1737@2|Bacteria,1R6J5@1224|Proteobacteria,2U06P@28211|Alphaproteobacteria,4B9WH@82115|Rhizobiaceae	28211|Alphaproteobacteria	K	Helix-turn-helix domain, rpiR family	-	-	-	-	-	-	-	-	-	-	-	-	HTH_6,SIS
Smeli:SMc04452	266834.SMc04452	1.22e-308	840.0	COG1252@1|root,COG1252@2|Bacteria,1MX96@1224|Proteobacteria,2TQT2@28211|Alphaproteobacteria,4B84B@82115|Rhizobiaceae	28211|Alphaproteobacteria	C	NADH dehydrogenase, FAD-containing subunit	ndh	-	1.6.99.3	ko:K03885	ko00190,map00190	-	-	-	ko00000,ko00001,ko01000	-	-	-	Pyr_redox_2,cNMP_binding
Smeli:SMc01403	266834.SMc01403	4.1e-89	263.0	COG1522@1|root,COG1522@2|Bacteria,1RDGZ@1224|Proteobacteria,2U737@28211|Alphaproteobacteria,4BECX@82115|Rhizobiaceae	28211|Alphaproteobacteria	K	Transcriptional	zrp	-	-	ko:K05800	-	-	-	-	ko00000,ko03000	-	-	-	AsnC_trans_reg,HTH_24
Smeli:SMc01404	266834.SMc01404	1.28e-163	458.0	COG1794@1|root,COG1794@2|Bacteria,1MV03@1224|Proteobacteria,2TRKQ@28211|Alphaproteobacteria,4B968@82115|Rhizobiaceae	28211|Alphaproteobacteria	M	aspartate racemase	asr	GO:0000270,GO:0003674,GO:0003824,GO:0006022,GO:0006023,GO:0006024,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009252,GO:0009273,GO:0009987,GO:0016853,GO:0016854,GO:0016855,GO:0030203,GO:0034645,GO:0036361,GO:0042546,GO:0043170,GO:0044036,GO:0044038,GO:0044085,GO:0044237,GO:0044249,GO:0044260,GO:0047661,GO:0070589,GO:0071554,GO:0071704,GO:0071840,GO:1901135,GO:1901137,GO:1901564,GO:1901566,GO:1901576	5.1.1.13	ko:K01779	ko00250,ko01054,map00250,map01054	-	R00491	RC00302	ko00000,ko00001,ko01000	-	-	-	Asp_Glu_race
Smeli:SMc01493	266834.SMc01493	4.32e-110	316.0	COG1733@1|root,COG1733@2|Bacteria,1MZ6N@1224|Proteobacteria,2UC19@28211|Alphaproteobacteria,4BN4K@82115|Rhizobiaceae	28211|Alphaproteobacteria	K	HxlR-like helix-turn-helix	-	-	-	-	-	-	-	-	-	-	-	-	HxlR
Smeli:SMc01405	266834.SMc01405	3.28e-201	558.0	COG0702@1|root,COG0702@2|Bacteria,1MW44@1224|Proteobacteria,2TRDF@28211|Alphaproteobacteria,4BA15@82115|Rhizobiaceae	28211|Alphaproteobacteria	GM	NmrA-like family	ytfG	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0008150,GO:0008152,GO:0016491,GO:0016651,GO:0016655,GO:0044424,GO:0044444,GO:0044464,GO:0055114	1.6.5.2	ko:K19267	ko00130,ko01110,map00130,map01110	-	R02964,R03643,R03816	RC00819	ko00000,ko00001,ko01000	-	-	-	NAD_binding_10,NmrA
Smeli:SMc01488	266834.SMc01488	4.41e-121	345.0	COG5349@1|root,COG5349@2|Bacteria,1N0PN@1224|Proteobacteria,2UBSH@28211|Alphaproteobacteria,4BEP7@82115|Rhizobiaceae	28211|Alphaproteobacteria	S	Protein of unknown function (DUF983)	-	-	-	-	-	-	-	-	-	-	-	-	DUF983
Smeli:SMc01406	266834.SMc01406	0.0	912.0	COG1167@1|root,COG1167@2|Bacteria,1MUJE@1224|Proteobacteria,2TQZZ@28211|Alphaproteobacteria,4BBU5@82115|Rhizobiaceae	28211|Alphaproteobacteria	K	gntR family	-	-	-	-	-	-	-	-	-	-	-	-	Aminotran_1_2,GntR
Smeli:SMc01407	266834.SMc01407	2.32e-183	509.0	COG0854@1|root,COG0854@2|Bacteria,1MU9W@1224|Proteobacteria,2TTTF@28211|Alphaproteobacteria,4B9B0@82115|Rhizobiaceae	28211|Alphaproteobacteria	H	Catalyzes the complicated ring closure reaction between the two acyclic compounds 1-deoxy-D-xylulose-5-phosphate (DXP) and 3-amino-2-oxopropyl phosphate (1-amino-acetone-3-phosphate or AAP) to form pyridoxine 5'-phosphate (PNP) and inorganic phosphate	pdxJ	-	2.6.99.2	ko:K03474	ko00750,ko01100,map00750,map01100	M00124	R05838	RC01476	ko00000,ko00001,ko00002,ko01000	-	-	-	PdxJ
Smeli:SMc01408	266834.SMc01408	7.47e-173	481.0	COG4312@1|root,COG4312@2|Bacteria,1QIBA@1224|Proteobacteria,2TTFP@28211|Alphaproteobacteria,4B7GU@82115|Rhizobiaceae	28211|Alphaproteobacteria	S	Bacterial protein of unknown function (DUF899)	-	-	-	-	-	-	-	-	-	-	-	-	DUF899
Smeli:SMc01409	266834.SMc01409	3.88e-264	723.0	COG0457@1|root,COG0457@2|Bacteria,1MUMZ@1224|Proteobacteria,2TUKX@28211|Alphaproteobacteria,4BBMQ@82115|Rhizobiaceae	28211|Alphaproteobacteria	S	Adenylate cyclase	-	-	-	-	-	-	-	-	-	-	-	-	-
Smeli:SMc01410	266834.SMc01410	8.33e-38	127.0	COG3134@1|root,COG3134@2|Bacteria	2|Bacteria	I	Outer membrane lipoprotein	-	-	-	ko:K06077	-	-	-	-	ko00000	-	-	-	Rick_17kDa_Anti
Smeli:SMc01489	266834.SMc01489	1.19e-68	208.0	COG5126@1|root,COG5126@2|Bacteria,1NF7A@1224|Proteobacteria,2TVRT@28211|Alphaproteobacteria,4BFYE@82115|Rhizobiaceae	28211|Alphaproteobacteria	DTZ	EF hand	-	-	-	-	-	-	-	-	-	-	-	-	EF-hand_5
Smeli:SMc01490	266834.SMc01490	3.16e-167	467.0	29057@1|root,2ZMV3@2|Bacteria,1P6BC@1224|Proteobacteria,2UWM3@28211|Alphaproteobacteria,4BEUY@82115|Rhizobiaceae	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Smeli:SMc01411	266834.SMc01411	3.23e-292	796.0	28J3R@1|root,2Z8ZX@2|Bacteria,1RATM@1224|Proteobacteria,2U5YF@28211|Alphaproteobacteria,4B7HX@82115|Rhizobiaceae	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Smeli:SMc01412	266834.SMc01412	3.03e-184	512.0	COG3482@1|root,COG3482@2|Bacteria,1QG2J@1224|Proteobacteria,2TUJJ@28211|Alphaproteobacteria,4B8C5@82115|Rhizobiaceae	28211|Alphaproteobacteria	S	TfuA-like protein	-	-	-	-	-	-	-	-	-	-	-	-	TfuA
Smeli:SMc01413	266834.SMc01413	3.27e-295	805.0	COG1944@1|root,COG1944@2|Bacteria,1N5NV@1224|Proteobacteria,2U1QX@28211|Alphaproteobacteria,4B7YV@82115|Rhizobiaceae	28211|Alphaproteobacteria	S	YcaO cyclodehydratase, ATP-ad Mg2+-binding	-	-	-	ko:K09136	-	-	-	-	ko00000,ko03009	-	-	-	YcaO
Smeli:SMc01491	266834.SMc01491	0.0	2002.0	COG1672@1|root,COG2114@1|root,COG1672@2|Bacteria,COG2114@2|Bacteria,1QU5X@1224|Proteobacteria,2TW12@28211|Alphaproteobacteria,4BNRN@82115|Rhizobiaceae	28211|Alphaproteobacteria	T	AAA ATPase domain	-	-	-	-	-	-	-	-	-	-	-	-	AAA_16,Guanylate_cyc,SAM_1
Smeli:SMc01492	266834.SMc01492	0.0	1230.0	COG1752@1|root,COG1752@2|Bacteria,1N9HS@1224|Proteobacteria,2U193@28211|Alphaproteobacteria,4BE9V@82115|Rhizobiaceae	28211|Alphaproteobacteria	S	Patatin-like phospholipase	suhR	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	-	-	-	-	-	-	-	-	-	-	Patatin
Smeli:SMc01414	266834.SMc01414	5.7e-301	820.0	COG0507@1|root,COG0507@2|Bacteria,1MW43@1224|Proteobacteria,2TQWC@28211|Alphaproteobacteria,4B71I@82115|Rhizobiaceae	28211|Alphaproteobacteria	L	ATP-dependent exoDNAse (exonuclease V), alpha subunit - helicase superfamily I member	recD	-	3.1.11.5	ko:K01144	-	-	-	-	ko00000,ko01000	-	-	-	AAA_30,UvrD_C_2
Smeli:SMc01415	266834.SMc01415	2.51e-241	665.0	COG3180@1|root,COG3180@2|Bacteria,1MUFS@1224|Proteobacteria,2TUUX@28211|Alphaproteobacteria,4B8WX@82115|Rhizobiaceae	28211|Alphaproteobacteria	S	Ammonia monooxygenase	abrB	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	-	ko:K07120	-	-	-	-	ko00000	-	-	-	AbrB
Smeli:SMc01416	266834.SMc01416	1.96e-77	231.0	COG4190@1|root,COG4190@2|Bacteria,1N3VQ@1224|Proteobacteria,2UEZ0@28211|Alphaproteobacteria,4BG0T@82115|Rhizobiaceae	28211|Alphaproteobacteria	K	Transcriptional regulator	-	-	-	-	-	-	-	-	-	-	-	-	HTH_24
Smeli:SMc01418	266834.SMc01418	5.97e-88	258.0	COG4315@1|root,COG4315@2|Bacteria,1MZC6@1224|Proteobacteria,2UCKS@28211|Alphaproteobacteria,4BFKH@82115|Rhizobiaceae	28211|Alphaproteobacteria	S	protein conserved in bacteria	-	-	-	-	-	-	-	-	-	-	-	-	Lipoprotein_15
Smeli:SMc01419	266834.SMc01419	1.81e-127	362.0	COG1595@1|root,COG1595@2|Bacteria,1MZMC@1224|Proteobacteria,2VEWM@28211|Alphaproteobacteria,4BMJV@82115|Rhizobiaceae	28211|Alphaproteobacteria	K	Sigma-70, region 4	-	-	-	ko:K03088	-	-	-	-	ko00000,ko03021	-	-	-	Sigma70_r2,Sigma70_r4_2
Smeli:SMc01420	266834.SMc01420	1.57e-136	387.0	COG5662@1|root,COG5662@2|Bacteria,1RK1X@1224|Proteobacteria,2UBJE@28211|Alphaproteobacteria,4BMU2@82115|Rhizobiaceae	28211|Alphaproteobacteria	K	transmembrane transcriptional regulator (Anti-sigma factor)	-	-	-	-	-	-	-	-	-	-	-	-	-
Smeli:SMc01421	266834.SMc01421	1.26e-38	128.0	COG5662@1|root,COG5662@2|Bacteria	2|Bacteria	K	AntiSigma factor	-	-	-	-	-	-	-	-	-	-	-	-	zf-HC2
Smeli:SMc01422	266834.SMc01422	1.39e-88	259.0	2E3CR@1|root,32YC0@2|Bacteria,1N9Q9@1224|Proteobacteria,2UF5B@28211|Alphaproteobacteria,4BFNR@82115|Rhizobiaceae	28211|Alphaproteobacteria	S	Nitrile hydratase beta subunit	MA20_29595	-	-	-	-	-	-	-	-	-	-	-	NHase_beta
Smeli:SMc01423	266834.SMc01423	5.95e-166	462.0	28I45@1|root,2Z87Q@2|Bacteria,1R432@1224|Proteobacteria,2U3PK@28211|Alphaproteobacteria,4BBK6@82115|Rhizobiaceae	28211|Alphaproteobacteria	E	NHase catalyzes the hydration of various nitrile compounds to the corresponding amides	nthB	-	4.2.1.84	ko:K20807	ko00364,ko00380,ko00627,ko00643,ko01120,map00364,map00380,map00627,map00643,map01120	-	R04020,R05379,R05596,R07780,R07854	RC00483,RC01345,RC01432	ko00000,ko00001,ko01000	-	-	-	NHase_beta
Smeli:SMc01424	266834.SMc01424	4.36e-156	437.0	2BZ0R@1|root,2Z7U0@2|Bacteria,1MX37@1224|Proteobacteria,2TSBD@28211|Alphaproteobacteria,4B7VJ@82115|Rhizobiaceae	28211|Alphaproteobacteria	S	Nitrile hydratase	nthA	-	4.2.1.84	ko:K01721	ko00364,ko00380,ko00627,ko00643,ko01120,map00364,map00380,map00627,map00643,map01120	-	R02828,R04020,R05379,R05596,R07780,R07854	RC00483,RC00792,RC01345,RC01432	ko00000,ko00001,ko01000	-	-	-	NHase_alpha
Smeli:SMc01425	266834.SMc01425	2.73e-133	378.0	COG1280@1|root,COG1280@2|Bacteria,1RE3P@1224|Proteobacteria,2VG7C@28211|Alphaproteobacteria,4BNHF@82115|Rhizobiaceae	28211|Alphaproteobacteria	E	LysE type translocator	-	-	-	-	-	-	-	-	-	-	-	-	LysE
Smeli:SMc01426	266834.SMc01426	5.7e-180	500.0	COG0500@1|root,COG2226@2|Bacteria,1MV7N@1224|Proteobacteria,2TVGZ@28211|Alphaproteobacteria,4BACU@82115|Rhizobiaceae	28211|Alphaproteobacteria	Q	Methyltransferase domain	-	-	-	-	-	-	-	-	-	-	-	-	Methyltransf_11
Smeli:SMc01428	266834.SMc01428	3.8e-43	140.0	COG1278@1|root,COG1278@2|Bacteria,1N6Q5@1224|Proteobacteria,2UF6W@28211|Alphaproteobacteria,4BG0X@82115|Rhizobiaceae	28211|Alphaproteobacteria	K	Cold shock	cspA	-	-	ko:K03704	-	-	-	-	ko00000,ko03000	-	-	-	CSD
Smeli:SMc01429	266834.SMc01429	2.08e-206	570.0	COG0656@1|root,COG0656@2|Bacteria,1MUH2@1224|Proteobacteria,2TTC2@28211|Alphaproteobacteria,4BAQW@82115|Rhizobiaceae	28211|Alphaproteobacteria	S	Aldo keto reductases, related to diketogulonate reductase	yeaE	GO:0003674,GO:0003824,GO:0006081,GO:0008150,GO:0008152,GO:0009056,GO:0009438,GO:0009987,GO:0016491,GO:0042180,GO:0042182,GO:0044237,GO:0044248,GO:0044281,GO:0044282,GO:0046185,GO:0051596,GO:0055114,GO:0071704,GO:1901575	-	-	-	-	-	-	-	-	-	-	Aldo_ket_red
Smeli:SMc01430	266834.SMc01430	3.78e-132	375.0	COG0440@1|root,COG0440@2|Bacteria,1RAGN@1224|Proteobacteria,2U5CW@28211|Alphaproteobacteria,4B8D1@82115|Rhizobiaceae	28211|Alphaproteobacteria	E	acetolactate synthase	ilvH	-	2.2.1.6	ko:K01653	ko00290,ko00650,ko00660,ko00770,ko01100,ko01110,ko01130,ko01210,ko01230,map00290,map00650,map00660,map00770,map01100,map01110,map01130,map01210,map01230	M00019,M00570	R00006,R00014,R00226,R03050,R04672,R04673,R08648	RC00027,RC00106,RC01192,RC02744,RC02893	ko00000,ko00001,ko00002,ko01000	-	-	-	ACT,ACT_5,ALS_ss_C
Smeli:SMc01431	266834.SMc01431	0.0	1200.0	COG0028@1|root,COG0028@2|Bacteria,1MU6U@1224|Proteobacteria,2TR1I@28211|Alphaproteobacteria,4BA3C@82115|Rhizobiaceae	28211|Alphaproteobacteria	E	acetolactate synthase	ilvI	-	2.2.1.6	ko:K01652	ko00290,ko00650,ko00660,ko00770,ko01100,ko01110,ko01130,ko01210,ko01230,map00290,map00650,map00660,map00770,map01100,map01110,map01130,map01210,map01230	M00019,M00570	R00006,R00014,R00226,R03050,R04672,R04673,R08648	RC00027,RC00106,RC01192,RC02744,RC02893	ko00000,ko00001,ko00002,ko01000	-	-	-	TPP_enzyme_C,TPP_enzyme_M,TPP_enzyme_N
Smeli:SMc01432	266834.SMc01432	0.0	1331.0	COG0433@1|root,COG0433@2|Bacteria,1MUSH@1224|Proteobacteria,2TUN9@28211|Alphaproteobacteria,4BA13@82115|Rhizobiaceae	28211|Alphaproteobacteria	S	Domain of unknown function DUF87	-	-	-	ko:K06915	-	-	-	-	ko00000	-	-	-	DUF87
Smeli:SMc01433	266834.SMc01433	7.46e-85	249.0	2DNR3@1|root,32YQ5@2|Bacteria,1N6UX@1224|Proteobacteria,2UG7C@28211|Alphaproteobacteria	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	DUF4440
Smeli:SMc01434	266834.SMc01434	4.97e-102	295.0	29AKN@1|root,2ZXKK@2|Bacteria,1R3EH@1224|Proteobacteria,2U01P@28211|Alphaproteobacteria,4BFUN@82115|Rhizobiaceae	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Smeli:SMc01435	266834.SMc01435	7.03e-216	596.0	COG0324@1|root,COG0324@2|Bacteria,1MUB2@1224|Proteobacteria,2TR8Z@28211|Alphaproteobacteria,4B7S9@82115|Rhizobiaceae	28211|Alphaproteobacteria	J	Catalyzes the transfer of a dimethylallyl group onto the adenine at position 37 in tRNAs that read codons beginning with uridine, leading to the formation of N6-(dimethylallyl)adenosine (i(6)A)	miaA	GO:0003674,GO:0003824,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016740,GO:0016765,GO:0034470,GO:0034641,GO:0034660,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0046483,GO:0052381,GO:0071704,GO:0090304,GO:0140098,GO:0140101,GO:1901360	2.5.1.75	ko:K00791	ko00908,ko01100,ko01110,map00908,map01100,map01110	-	R01122	RC02820	ko00000,ko00001,ko01000,ko01006,ko03016	-	-	-	IPPT
Smeli:SMc01494	266834.SMc01494	6.35e-199	552.0	COG0560@1|root,COG0560@2|Bacteria,1MWA3@1224|Proteobacteria,2TSEU@28211|Alphaproteobacteria,4B7KE@82115|Rhizobiaceae	28211|Alphaproteobacteria	E	phosphoserine phosphatase	serB	-	3.1.3.3	ko:K01079	ko00260,ko00680,ko01100,ko01120,ko01130,ko01200,ko01230,map00260,map00680,map01100,map01120,map01130,map01200,map01230	M00020	R00582	RC00017	ko00000,ko00001,ko00002,ko01000,ko01009	-	-	-	HAD
Smeli:SMc01437	266834.SMc01437	5.59e-139	392.0	COG1670@1|root,COG1670@2|Bacteria,1RCX2@1224|Proteobacteria,2U97G@28211|Alphaproteobacteria,4BBJ4@82115|Rhizobiaceae	28211|Alphaproteobacteria	J	Acetyltransferases, including N-acetylases of ribosomal proteins	-	-	2.3.1.128	ko:K03790	-	-	-	-	ko00000,ko01000,ko03009	-	-	-	Acetyltransf_3
Smeli:SMc01438	266834.SMc01438	0.0	967.0	COG0265@1|root,COG0265@2|Bacteria,1MU63@1224|Proteobacteria,2TQPZ@28211|Alphaproteobacteria,4B9S2@82115|Rhizobiaceae	28211|Alphaproteobacteria	M	Belongs to the peptidase S1C family	degP	GO:0003674,GO:0003824,GO:0004175,GO:0004252,GO:0005575,GO:0005623,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008236,GO:0016787,GO:0017171,GO:0019538,GO:0030288,GO:0030313,GO:0031975,GO:0042597,GO:0043170,GO:0044238,GO:0044464,GO:0070011,GO:0071704,GO:0140096,GO:1901564	3.4.21.107	ko:K04771	ko01503,ko02020,map01503,map02020	M00728	-	-	ko00000,ko00001,ko00002,ko01000,ko01002,ko03110	-	-	-	PDZ,PDZ_2,Trypsin_2
Smeli:SMc01439	266834.SMc01439	4.84e-89	261.0	COG3603@1|root,COG3603@2|Bacteria,1N5UI@1224|Proteobacteria,2VGTF@28211|Alphaproteobacteria,4BNMS@82115|Rhizobiaceae	28211|Alphaproteobacteria	S	ACT domain	-	-	-	ko:K09707	-	-	-	-	ko00000	-	-	-	ACT_7
Smeli:SMc01440	266834.SMc01440	1.24e-208	578.0	COG0330@1|root,COG0330@2|Bacteria,1MV7R@1224|Proteobacteria,2TRP4@28211|Alphaproteobacteria,4B8TY@82115|Rhizobiaceae	28211|Alphaproteobacteria	O	HflC and HflK could regulate a protease	hflC	-	-	ko:K04087	-	M00742	-	-	ko00000,ko00002,ko01000	-	-	-	Band_7
