new.locus.tag,KEGG_ko,Name_description
SM_RS13840,K01745,"hutH, HAL; histidine ammonia-lyase [EC:4.3.1.3]"
SM_RS13845,,
SM_RS13850,K09975,K09975; uncharacterized protein
SM_RS13855,,
SM_RS13860,,
SM_RS13870,,
SM_RS13875,,
SM_RS13880,,
SM_RS13895,K00566,"mnmA, trmU; tRNA-uridine 2-sulfurtransferase [EC:2.8.1.13]"
SM_RS13900,,
SM_RS13905,,
SM_RS13910,K06975,K06975; uncharacterized protein
SM_RS13915,,
SM_RS13920,K13584,"ctrA; two-component system, cell cycle response regulator CtrA"
SM_RS13925,K03413,"cheY; two-component system, chemotaxis family, chemotaxis protein CheY"
SM_RS13930,K13588,chpT; histidine phosphotransferase ChpT
SM_RS13935,,
SM_RS13940,,
SM_RS13945,,
SM_RS13950,,
SM_RS13955,K06180,rluD; 23S rRNA pseudouridine1911/1915/1917 synthase [EC:5.4.99.23]
SM_RS13960,K03089,rpoH; RNA polymerase sigma-32 factor
SM_RS13965,,
SM_RS13970,K01939,"purA, ADSS; adenylosuccinate synthase [EC:6.3.4.4]"
SM_RS13975,,
SM_RS13980,K00058,"serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]"
SM_RS13985,K00831,"serC, PSAT1; phosphoserine aminotransferase [EC:2.6.1.52]"
SM_RS13990,,
SM_RS13995,,
SM_RS14000,K03431,glmM; phosphoglucosamine mutase [EC:5.4.2.10]
SM_RS14005,K03798,"ftsH, hflB; cell division protease FtsH [EC:3.4.24.-]"
SM_RS14010,K04075,"tilS, mesJ; tRNA(Ile)-lysidine synthase [EC:6.3.4.19]"
SM_RS14015,,
SM_RS14020,K03640,pal; peptidoglycan-associated lipoprotein
SM_RS14025,K03641,tolB; TolB protein
SM_RS14030,,
SM_RS14035,K03560,tolR; biopolymer transport protein TolR
SM_RS14040,K03562,tolQ; biopolymer transport protein TolQ
SM_RS14045,K01971,ligD; bifunctional non-homologous end joining protein LigD [EC:6.5.1.1]
SM_RS14050,K07107,ybgC; acyl-CoA thioester hydrolase [EC:3.1.2.-]
SM_RS14055,K06118,"SQD1, sqdB; UDP-sulfoquinovose synthase [EC:3.13.1.1]"
SM_RS14060,,
SM_RS14065,,
SM_RS14070,K07098,K07098; uncharacterized protein
SM_RS14075,K03551,ruvB; holliday junction DNA helicase RuvB [EC:5.6.2.4]
SM_RS14080,K03550,ruvA; holliday junction DNA helicase RuvA [EC:5.6.2.4]
SM_RS14085,K01159,ruvC; crossover junction endodeoxyribonuclease RuvC [EC:3.1.21.10]
SM_RS14090,,
SM_RS14095,,
SM_RS14100,,
SM_RS14105,K03296,"TC.HAE1; hydrophobic/amphiphilic exporter-1 (mainly G- bacteria), HAE1 family"
SM_RS14110,K18298,"mexE; membrane fusion protein, multidrug efflux system"
SM_RS14115,K09769,"ymdB; 2',3'-cyclic-nucleotide 2'-phosphodiesterase [EC:3.1.4.16]"
SM_RS14120,K01934,MTHFS; 5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2]
SM_RS14130,,
SM_RS14140,K09888,zapA; cell division protein ZapA
SM_RS14145,,
SM_RS14150,K00615,"E2.2.1.1, tktA, tktB; transketolase [EC:2.2.1.1]"
SM_RS14155,K00134,"GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]"
SM_RS14160,K09957,K09957; uncharacterized protein
SM_RS14165,K00927,"PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]"
SM_RS14170,K07493,K07493; putative transposase
SM_RS14175,K01623,"ALDO; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]"
SM_RS14180,K06998,"phzF; trans-2,3-dihydro-3-hydroxyanthranilate isomerase [EC:5.3.3.17]"
SM_RS14185,K01768,E4.6.1.1; adenylate cyclase [EC:4.6.1.1]
SM_RS31330,,
SM_RS14190,,
SM_RS14195,,
SM_RS14200,K13592,rcdA; regulator of CtrA degradation
SM_RS14205,K02909,"RP-L31, rpmE; large subunit ribosomal protein L31"
SM_RS14210,K06147,"ABCB-BAC; ATP-binding cassette, subfamily B, bacterial"
SM_RS14215,K02557,motB; chemotaxis protein MotB
SM_RS14220,,
SM_RS14225,K01092,"E3.1.3.25, IMPA, suhB; myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]"
SM_RS14230,K07126,K07126; uncharacterized protein
SM_RS14235,K00788,thiE; thiamine-phosphate pyrophosphorylase [EC:2.5.1.3]
SM_RS14240,K07090,K07090; uncharacterized protein
SM_RS14245,,
SM_RS14250,,
SM_RS14255,,
SM_RS14260,K01588,purE; 5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18]
SM_RS14265,K01589,purK; 5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18]
SM_RS14270,K02919,"RP-L36, MRPL36, rpmJ; large subunit ribosomal protein L36"
SM_RS14275,,
SM_RS14280,K00873,"PK, pyk; pyruvate kinase [EC:2.7.1.40]"
SM_RS14285,,
SM_RS14290,,
SM_RS14295,K09948,K09948; uncharacterized protein
SM_RS14300,,
SM_RS14305,,
SM_RS14310,,
SM_RS14315,K08602,"pepF, pepB; oligoendopeptidase F [EC:3.4.24.-]"
SM_RS14320,K01665,pabB; para-aminobenzoate synthetase component I [EC:2.6.1.85]
SM_RS14325,K02619,pabC; 4-amino-4-deoxychorismate lyase [EC:4.1.3.38]
SM_RS14330,,
SM_RS14335,K00808,hss; homospermidine synthase [EC:2.5.1.44]
SM_RS14340,,
SM_RS14345,K11751,ushA; 5'-nucleotidase / UDP-sugar diphosphatase [EC:3.1.3.5 3.6.1.45]
SM_RS14350,K01772,"hemH, FECH; protoporphyrin/coproporphyrin ferrochelatase [EC:4.98.1.1 4.99.1.9]"
SM_RS14355,,
SM_RS14360,K07340,ybbJ; inner membrane protein
SM_RS14365,,
SM_RS14370,K00963,"UGP2, galU, galF; UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]"
SM_RS14375,K08305,mltB; membrane-bound lytic murein transglycosylase B [EC:4.2.2.-]
SM_RS14380,K09795,K09795; uncharacterized protein
SM_RS14385,K00266,gltD; glutamate synthase (NADPH) small chain [EC:1.4.1.13]
SM_RS14390,K00265,gltB; glutamate synthase (NADPH) large chain [EC:1.4.1.13]
SM_RS14395,K01620,ltaE; threonine aldolase [EC:4.1.2.48]
SM_RS14400,K14347,"SLC10A7, P7; solute carrier family 10 (sodium/bile acid cotransporter), member 7"
SM_RS14405,K18457,laaA; L-proline amide hydrolase [EC:3.5.1.101]
SM_RS14410,K07782,"sdiA; LuxR family transcriptional regulator, quorum-sensing system regulator SdiA"
SM_RS14415,K01259,pip; proline iminopeptidase [EC:3.4.11.5]
SM_RS14420,K02033,ABC.PE.P; peptide/nickel transport system permease protein
SM_RS14425,K02034,ABC.PE.P1; peptide/nickel transport system permease protein
SM_RS14430,K02031/K02032,
SM_RS14435,K02035,ABC.PE.S; peptide/nickel transport system substrate-binding protein
SM_RS14445,K04080,ibpA; molecular chaperone IbpA
SM_RS14450,K01048,pldB; lysophospholipase [EC:3.1.1.5]
SM_RS14455,,
SM_RS14460,,
SM_RS14465,K13589,"cpdR; two-component system, cell cycle response regulator CpdR"
SM_RS14480,K01687,ilvD; dihydroxy-acid dehydratase [EC:4.2.1.9]
SM_RS14485,,
SM_RS14490,,
SM_RS14495,,
SM_RS14500,K00387,SUOX; sulfite oxidase [EC:1.8.3.1]
SM_RS14505,,
SM_RS14510,K03088,"rpoE; RNA polymerase sigma-70 factor, ECF subfamily"
SM_RS14515,,
SM_RS14520,,
SM_RS14525,K06996,K06996; uncharacterized protein
SM_RS14530,,
SM_RS14535,,
SM_RS14540,,
SM_RS14545,,
SM_RS14550,,
SM_RS14555,K00688,"PYG, glgP; glycogen phosphorylase [EC:2.4.1.1]"
SM_RS14560,K00700,"GBE1, glgB; 1,4-alpha-glucan branching enzyme [EC:2.4.1.18]"
SM_RS14565,K00975,glgC; glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]
SM_RS14570,K00703,glgA; starch synthase [EC:2.4.1.21]
SM_RS14575,K01835,pgm; phosphoglucomutase [EC:5.4.2.2]
SM_RS14580,K02438,glgX; glycogen debranching enzyme [EC:3.2.1.196]
SM_RS14585,,
SM_RS14590,,
SM_RS14595,K00001,"E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]"
SM_RS14600,K00305,"soxG; sarcosine oxidase, subunit gamma [EC:1.5.3.24 1.5.3.1]"
SM_RS14605,K00302,"soxA; sarcosine oxidase, subunit alpha [EC:1.5.3.24 1.5.3.1]"
SM_RS14610,K00304,"soxD; sarcosine oxidase, subunit delta [EC:1.5.3.24 1.5.3.1]"
SM_RS14615,K00303,"soxB; sarcosine oxidase, subunit beta [EC:1.5.3.24 1.5.3.1]"
SM_RS14620,K02970,"RP-S21, MRPS21, rpsU; small subunit ribosomal protein S21"
SM_RS14625,,
SM_RS14630,,
SM_RS14635,K01768,E4.6.1.1; adenylate cyclase [EC:4.6.1.1]
SM_RS14640,K00325,pntB; H+-translocating NAD(P) transhydrogenase subunit beta [EC:1.6.1.2 7.1.1.1]
SM_RS14645,K00324,pntA; H+-translocating NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2 7.1.1.1]
SM_RS14650,K00324,pntA; H+-translocating NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2 7.1.1.1]
SM_RS14655,,
SM_RS14660,,
SM_RS14665,K07010,K07010; putative glutamine amidotransferase
SM_RS14670,,
SM_RS14675,,
SM_RS14680,,
SM_RS14685,K01470,E3.5.2.10; creatinine amidohydrolase [EC:3.5.2.10]
SM_RS14690,,
SM_RS14695,,
SM_RS14700,,
SM_RS14705,,
SM_RS14710,,
SM_RS14715,K01581,"E4.1.1.17, ODC1, speC, speF; ornithine decarboxylase [EC:4.1.1.17]"
SM_RS14720,,
SM_RS14725,,
SM_RS14730,K08970,rcnA; nickel/cobalt transporter (NicO) family protein
SM_RS14735,K19686,vapC; ribonuclease VapC [EC:3.1.-.-]
SM_RS14740,,
SM_RS14745,,
SM_RS14750,,
SM_RS14755,,
SM_RS14760,K01625,eda; 2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]
SM_RS14765,,
SM_RS14770,,
SM_RS14775,K07146,K07146; UPF0176 protein
SM_RS14780,K02073,metQ; D-methionine transport system substrate-binding protein
SM_RS14785,K02072,metI; D-methionine transport system permease protein
SM_RS14790,K02071,metN; D-methionine transport system ATP-binding protein
SM_RS14795,K05350,bglB; beta-glucosidase [EC:3.2.1.21]
SM_RS14800,,
SM_RS14805,,
SM_RS14810,K01805,xylA; xylose isomerase [EC:5.3.1.5]
SM_RS14815,K00854,"xylB, XYLB; xylulokinase [EC:2.7.1.17]"
SM_RS14820,K02529,"lacI, galR; LacI family transcriptional regulator"
SM_RS14825,,
SM_RS14830,K03446,"emrB; MFS transporter, DHA2 family, multidrug resistance protein"
SM_RS14835,K03543,"emrA; membrane fusion protein, multidrug efflux system"
SM_RS14840,,
SM_RS14845,K13653,K13653; AraC family transcriptional regulator
SM_RS14850,,
SM_RS14855,K01885,"EARS, gltX; glutamyl-tRNA synthetase [EC:6.1.1.17]"
SM_RS14860,K04567,"KARS, lysS; lysyl-tRNA synthetase, class II [EC:6.1.1.6]"
SM_RS14865,,
SM_RS14870,,
SM_RS14875,K07577,K07577; putative mRNA 3-end processing factor
SM_RS14880,,
SM_RS14885,,
SM_RS14890,K05559,phaA; multicomponent K+:H+ antiporter subunit A
SM_RS14895,K05560,phaC; multicomponent K+:H+ antiporter subunit C
SM_RS14900,K05561,phaD; multicomponent K+:H+ antiporter subunit D
SM_RS14905,K05562,phaE; multicomponent K+:H+ antiporter subunit E
SM_RS14910,K05563,phaF; multicomponent K+:H+ antiporter subunit F
SM_RS14915,K05564,phaG; multicomponent K+:H+ antiporter subunit G
SM_RS14920,K00355,NQO1; NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]
SM_RS14925,,
SM_RS14930,K05936,"cobM, cbiF; precorrin-4/cobalt-precorrin-4 C11-methyltransferase [EC:2.1.1.133 2.1.1.271]"
SM_RS14935,K00595,"cobL-cbiET; precorrin-6B C5,15-methyltransferase / cobalt-precorrin-6B C5,C15-methyltransferase [EC:2.1.1.132 2.1.1.289 2.1.1.196]"
SM_RS14940,K05895,cobK-cbiJ; precorrin-6A/cobalt-precorrin-6A reductase [EC:1.3.1.54 1.3.1.106]
SM_RS14945,K05934,"cobJ, cbiH; precorrin-3B C17-methyltransferase / cobalt-factor III methyltransferase [EC:2.1.1.131 2.1.1.272]"
SM_RS14950,K03394,cobI-cbiL; precorrin-2/cobalt-factor-2 C20-methyltransferase [EC:2.1.1.130 2.1.1.151]
SM_RS14955,K06042,cobH-cbiC; precorrin-8X/cobalt-precorrin-8 methylmutase [EC:5.4.99.61 5.4.99.60]
SM_RS14960,K02229,cobG; precorrin-3B synthase [EC:1.14.13.83]
SM_RS14965,K02228,cobF; precorrin-6A synthase [EC:2.1.1.152]
SM_RS14970,K03648,"UNG, UDG; uracil-DNA glycosylase [EC:3.2.2.27]"
SM_RS14975,K02020,modA; molybdate transport system substrate-binding protein
SM_RS14980,K02018,modB; molybdate transport system permease protein
SM_RS14985,K02017,modC; molybdate transport system ATP-binding protein [EC:7.3.2.5]
SM_RS14990,K02019,modE; molybdate transport system regulatory protein
SM_RS14995,,
SM_RS15000,K00166,"BCKDHA, bkdA1; 2-oxoisovalerate dehydrogenase E1 component subunit alpha [EC:1.2.4.4]"
SM_RS15005,K00167,"BCKDHB, bkdA2; 2-oxoisovalerate dehydrogenase E1 component subunit beta [EC:1.2.4.4]"
SM_RS15010,K09699,"DBT, bkdB; 2-oxoisovalerate dehydrogenase E2 component (dihydrolipoyl transacylase) [EC:2.3.1.168]"
SM_RS15015,K00382,"DLD, lpd, pdhD; dihydrolipoyl dehydrogenase [EC:1.8.1.4]"
SM_RS15020,K01433,purU; formyltetrahydrofolate deformylase [EC:3.5.1.10]
SM_RS15025,K01800,"maiA, GSTZ1; maleylacetoacetate isomerase [EC:5.2.1.2]"
SM_RS15030,K16171,faaH; fumarylacetoacetate (FAA) hydrolase [EC:3.7.1.2]
SM_RS15035,K00451,"HGD, hmgA; homogentisate 1,2-dioxygenase [EC:1.13.11.5]"
SM_RS15040,,
SM_RS15045,,
SM_RS15050,K00457,"HPD, hppD; 4-hydroxyphenylpyruvate dioxygenase [EC:1.13.11.27]"
SM_RS15055,,
SM_RS15060,,
SM_RS15065,,
SM_RS15070,K12536,"hasD, prtD, aprD, rsaD, prsD, eexD; ATP-binding cassette, subfamily C, type I secretion system permease/ATPase"
SM_RS15075,K12537,"hasE, prtE, rsaE, prsE, eexE; membrane fusion protein, type I secretion system"
SM_RS15080,,
SM_RS15085,,
SM_RS15090,,
SM_RS15100,K03710,K03710; GntR family transcriptional regulator
SM_RS15105,K19510,gfrF; fructoselysine-6-phosphate deglycase
SM_RS15110,K10710,frlD; fructoselysine 6-kinase [EC:2.7.1.218]
SM_RS15115,,
SM_RS15120,,
SM_RS15125,K09972,"aapP, bztD; general L-amino acid transport system ATP-binding protein [EC:7.4.2.1]"
SM_RS15130,K15270,sam; S-adenosylmethionine uptake transporter
SM_RS15135,K02029,ABC.PA.P; polar amino acid transport system permease protein
SM_RS15140,K09471,"puuB, ordL; gamma-glutamylputrescine oxidase [EC:1.4.3.-]"
SM_RS15145,K02030,ABC.PA.S; polar amino acid transport system substrate-binding protein
SM_RS15150,,
SM_RS15155,K01126,"E3.1.4.46, glpQ, ugpQ; glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]"
SM_RS15160,K02034,ABC.PE.P1; peptide/nickel transport system permease protein
SM_RS15165,K02033,ABC.PE.P; peptide/nickel transport system permease protein
SM_RS15170,K02032,ddpF; peptide/nickel transport system ATP-binding protein
SM_RS15175,K02031,ddpD; peptide/nickel transport system ATP-binding protein
SM_RS15180,K02035,ABC.PE.S; peptide/nickel transport system substrate-binding protein
SM_RS15185,,
SM_RS15220,,
SM_RS15225,K01999,livK; branched-chain amino acid transport system substrate-binding protein
SM_RS15230,K01995,livG; branched-chain amino acid transport system ATP-binding protein
SM_RS15235,K01996,livF; branched-chain amino acid transport system ATP-binding protein
SM_RS15240,K01997,livH; branched-chain amino acid transport system permease protein
SM_RS15245,K01998,livM; branched-chain amino acid transport system permease protein
SM_RS15250,,
SM_RS15255,K07493,K07493; putative transposase
SM_RS15260,K07493,K07493; putative transposase
SM_RS15265,K07493,K07493; putative transposase
SM_RS15270,K00548,"metH, MTR; 5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]"
SM_RS15275,K01809,"manA, MPI; mannose-6-phosphate isomerase [EC:5.3.1.8]"
SM_RS15280,,
SM_RS15285,K00847,"E2.7.1.4, scrK; fructokinase [EC:2.7.1.4]"
SM_RS15295,,
SM_RS15300,,
SM_RS15305,,
SM_RS15310,K00099,dxr; 1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]
SM_RS15315,K00643,"E2.3.1.37, ALAS; 5-aminolevulinate synthase [EC:2.3.1.37]"
SM_RS15320,K03519,"coxM, cutM; aerobic carbon-monoxide dehydrogenase medium subunit [EC:1.2.5.3]"
SM_RS15325,K03520,"coxL, cutL; aerobic carbon-monoxide dehydrogenase large subunit [EC:1.2.5.3]"
SM_RS15330,K03518,coxS; aerobic carbon-monoxide dehydrogenase small subunit [EC:1.2.5.3]
SM_RS15335,,
SM_RS15340,K01768,E4.6.1.1; adenylate cyclase [EC:4.6.1.1]
SM_RS15345,,
SM_RS15350,K07278,tamA; translocation and assembly module TamA
SM_RS15355,K09800,tamB; translocation and assembly module TamB
SM_RS15360,,
SM_RS15365,K19300,aph3-II; aminoglycoside 3'-phosphotransferase II [EC:2.7.1.95]
SM_RS15370,,
SM_RS15375,,
SM_RS15380,K01476,"E3.5.3.1, rocF, arg; arginase [EC:3.5.3.1]"
SM_RS15385,K03408,cheW; purine-binding chemotaxis protein CheW
SM_RS15395,K03406,mcp; methyl-accepting chemotaxis protein
SM_RS15400,K00126,fdsD; formate dehydrogenase subunit delta [EC:1.17.1.9]
SM_RS15405,K02379,fdhD; FdhD protein
SM_RS15410,K00123,"fdoG, fdhF, fdwA; formate dehydrogenase major subunit [EC:1.17.1.9]"
SM_RS15420,K00124,"fdoH, fdsB; formate dehydrogenase iron-sulfur subunit"
SM_RS15425,K00127,"fdoI, fdsG; formate dehydrogenase subunit gamma"
SM_RS15430,,
SM_RS15435,K00059,"fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]"
SM_RS15440,K02444,"glpR; DeoR family transcriptional regulator, glycerol-3-phosphate regulon repressor"
SM_RS15445,K00111,"glpA, glpD; glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]"
SM_RS15450,K17324,glpS; glycerol transport system ATP-binding protein
SM_RS15455,K17325,glpT; glycerol transport system ATP-binding protein
SM_RS15460,K17322,glpP; glycerol transport system permease protein
SM_RS15465,K17323,glpQ; glycerol transport system permease protein
SM_RS15470,,
SM_RS15475,K17321,glpV; glycerol transport system substrate-binding protein
SM_RS15480,K24206,uacT; uric acid transporter
SM_RS15485,K24206,uacT; uric acid transporter
SM_RS15490,,
SM_RS15495,K03711,"fur, zur, furB; Fur family transcriptional regulator, ferric uptake regulator"
SM_RS15500,K11604,sitA; manganese/iron transport system substrate-binding protein
SM_RS15505,K11607,sitB; manganese/iron transport system ATP-binding protein
SM_RS15510,K11605,sitC; manganese/iron transport system permease protein
SM_RS15515,K11606,sitD; manganese/iron transport system permease protein
SM_RS15520,,
SM_RS15525,,
SM_RS15530,,
SM_RS15535,K02114,"ATPF1E, atpC; F-type H+-transporting ATPase subunit epsilon"
SM_RS15540,K02112,"ATPF1B, atpD; F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]"
SM_RS15545,K02115,"ATPF1G, atpG; F-type H+-transporting ATPase subunit gamma"
SM_RS15550,K02111,"ATPF1A, atpA; F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1]"
SM_RS15555,K02113,"ATPF1D, atpH; F-type H+-transporting ATPase subunit delta"
SM_RS15560,,
SM_RS15565,K04066,priA; primosomal protein N' (replication factor Y) (superfamily II helicase) [EC:5.6.2.4]
SM_RS15570,K00616,"TALDO1, talB, talA; transaldolase [EC:2.2.1.2]"
SM_RS15575,,
SM_RS15580,,
SM_RS15585,,
SM_RS15590,,
SM_RS15595,,
SM_RS15600,K03733,xerC; integrase/recombinase XerC
SM_RS15605,K09973,K09973; uncharacterized protein
SM_RS15610,K00382,"DLD, lpd, pdhD; dihydrolipoyl dehydrogenase [EC:1.8.1.4]"
SM_RS15615,,
SM_RS15620,,
SM_RS15625,,
SM_RS15630,K00658,"DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]"
SM_RS15635,K00164,"OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]"
SM_RS15640,K01902,sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]
SM_RS15645,K01903,sucC; succinyl-CoA synthetase beta subunit [EC:6.2.1.5]
SM_RS15650,K00024,mdh; malate dehydrogenase [EC:1.1.1.37]
SM_RS15655,K06916,zapE; cell division protein ZapE
SM_RS15660,K21498,higA-1; antitoxin HigA-1
SM_RS15665,K07334,higB-1; toxin HigB-1
SM_RS15670,,
SM_RS15675,K10112,"msmX, msmK, malK, sugC, ggtA, msiK; multiple sugar transport system ATP-binding protein [EC:7.5.2.-]"
SM_RS15680,K10119,msmG; raffinose/stachyose/melibiose transport system permease protein
SM_RS15685,K10118,msmF; raffinose/stachyose/melibiose transport system permease protein
SM_RS15690,K10117,msmE; raffinose/stachyose/melibiose transport system substrate-binding protein
SM_RS15695,,
SM_RS15700,,
SM_RS15705,K09992,K09992; uncharacterized protein
SM_RS15710,K07304,msrA; peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]
SM_RS15715,K00240,"sdhB, frdB; succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]"
SM_RS15720,K00239,"sdhA, frdA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]"
SM_RS15725,K00242,"sdhD, frdD; succinate dehydrogenase membrane anchor subunit"
SM_RS15730,K00241,"sdhC, frdC; succinate dehydrogenase cytochrome b subunit"
SM_RS15735,,
SM_RS15740,,
SM_RS15745,,
SM_RS15750,K09780,K09780; uncharacterized protein
SM_RS15755,K00057,gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]
SM_RS15760,K25706,tsaD; tRNA N6-adenosine threonylcarbamoyltransferase [EC:2.3.1.234]
SM_RS15765,K01749,"hemC, HMBS; hydroxymethylbilane synthase [EC:2.5.1.61]"
SM_RS15770,K01719,"hemD, UROS; uroporphyrinogen-III synthase [EC:4.2.1.75]"
SM_RS15775,,
SM_RS15780,K02498,hemY; HemY protein
SM_RS15785,,
SM_RS15790,K01951,"guaA, GMPS; GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]"
SM_RS15795,,
SM_RS15800,K02221,yggT; YggT family protein
SM_RS15805,K01507,ppa; inorganic pyrophosphatase [EC:3.6.1.1]
SM_RS15810,,
SM_RS15815,,
SM_RS15820,K06207,"typA, bipA; GTP-binding protein"
SM_RS15825,K01113,phoD; alkaline phosphatase D [EC:3.1.3.1]
SM_RS15830,,
SM_RS15835,K02433,"gatA, QRSL1; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7]"
SM_RS31340,,
SM_RS15840,,
SM_RS15845,,
SM_RS15855,,
SM_RS15860,,
SM_RS15865,,
SM_RS15880,K07497,K07497; putative transposase
SM_RS15885,K07484,K07484; transposase
SM_RS15890,K07483,K07483; transposase
SM_RS15900,K26272,dgcN; D-glutamate N-acetyltransferase [EC:2.3.1.-]
SM_RS15905,K00931,proB; glutamate 5-kinase [EC:2.7.2.11]
SM_RS15910,K21614,p4H; L-proline cis-4-hydroxylase [EC:1.14.11.56]
SM_RS15915,,
SM_RS15925,K07484,K07484; transposase
SM_RS15930,,
SM_RS15935,,
SM_RS15940,K01714,dapA; 4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]
SM_RS15945,K07481,"K07481; transposase, IS5 family"
SM_RS15960,,
SM_RS15965,K00285,dadA; D-amino-acid dehydrogenase [EC:1.4.5.1]
SM_RS15985,K01273,DPEP; membrane dipeptidase [EC:3.4.13.19]
SM_RS15990,K02031/K02032,
SM_RS15995,K02035,ABC.PE.S; peptide/nickel transport system substrate-binding protein
SM_RS16000,K02033,ABC.PE.P; peptide/nickel transport system permease protein
SM_RS16005,K02034,ABC.PE.P1; peptide/nickel transport system permease protein
SM_RS31785,,
SM_RS31790,,
SM_RS16020,,
SM_RS16025,K07483,K07483; transposase
SM_RS16030,K07484,K07484; transposase
SM_RS31800,K07484,K07484; transposase
SM_RS16040,,
SM_RS16045,,
SM_RS16050,,
SM_RS16055,,
SM_RS16060,,
SM_RS16065,,
SM_RS16070,,
SM_RS16080,,
SM_RS16110,K07484,K07484; transposase
SM_RS16115,K07484,K07484; transposase
SM_RS16120,K07483,K07483; transposase
SM_RS16130,,
SM_RS16135,K06877,K06877; DEAD/DEAH box helicase domain-containing protein
SM_RS16145,K00558,"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"
SM_RS16150,K07458,"vsr; DNA mismatch endonuclease, patch repair protein [EC:3.1.-.-]"
SM_RS16155,,
SM_RS16165,K06871,K06871; uncharacterized protein
SM_RS16170,,
SM_RS16175,K03791,K03791; putative chitinase
SM_RS16185,K02888,"RP-L21, MRPL21, rplU; large subunit ribosomal protein L21"
SM_RS16190,K02899,"RP-L27, MRPL27, rpmA; large subunit ribosomal protein L27"
SM_RS16195,,
SM_RS16200,,
SM_RS16205,K03979,"obgE, cgtA, MTG2; GTPase [EC:3.6.5.-]"
SM_RS16210,K00931,proB; glutamate 5-kinase [EC:2.7.2.11]
SM_RS16215,K00147,proA; glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]
SM_RS16220,K00969,nadD; nicotinate-nucleotide adenylyltransferase [EC:2.7.7.18]
SM_RS16225,K09710,ybeB; ribosome-associated protein
SM_RS16230,K00783,rlmH; 23S rRNA (pseudouridine1915-N3)-methyltransferase [EC:2.1.1.177]
SM_RS16235,K22719,envC; murein hydrolase activator
SM_RS16240,K03797,"E3.4.21.102, prc, ctpA; carboxyl-terminal processing protease [EC:3.4.21.102]"
SM_RS16245,K09798,K09798; uncharacterized protein
SM_RS16250,K08311,nudH; putative (di)nucleoside polyphosphate hydrolase [EC:3.6.1.-]
SM_RS16255,K03594,bfr; bacterioferritin [EC:1.16.3.1]
SM_RS16260,,
SM_RS16265,K14162,dnaE2; error-prone DNA polymerase [EC:2.7.7.7]
SM_RS16270,K14161,imuB; protein ImuB
SM_RS16275,K14160,imuA; protein ImuA
SM_RS16280,,
SM_RS16285,,
SM_RS16290,K01644,citE; citrate lyase subunit beta / citryl-CoA lyase [EC:4.1.3.34]
SM_RS16295,,
SM_RS16300,K01704,"leuD, IPMI-S; 3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35]"
SM_RS16305,,
SM_RS16310,K00651,metA; homoserine O-succinyltransferase/O-acetyltransferase [EC:2.3.1.46 2.3.1.31]
SM_RS16315,K01785,"galM, GALM; aldose 1-epimerase [EC:5.1.3.3]"
SM_RS16320,,
